elx	Misc/Elixir.bmp
ba4	帽子/Bar专用/24 Assault Helmet.bmp
ba5	帽子/Bar专用/25 Avenger Guard.bmp
dr1	帽子/Dru专用/16 Wolf Head.bmp
dr2	帽子/Dru专用/17 Hawk Helm.bmp
dr3	帽子/Dru专用/18 Antlers.bmp
dr5	帽子/Dru专用/19 Spirit Mask.bmp
dr4	帽子/Dru专用/20 Falcon Mask.bmp
lgl	手套/01 Leather Gloves.bmp
vgl	手套/02 Heavy Gloves.bmp
mgl	手套/03 Chain Gloves.bmp
tgl	手套/04 Light Gauntlets.bmp
hgl	手套/05 Gauntlets.bmp
lbt	鞋子/01 Boots.bmp
vbt	鞋子/02 Heavy Boots.bmp
mbt	鞋子/03 Chain Boots.bmp
tbt	鞋子/04 Light Plated Boots.bmp
hbt	鞋子/05 Greaves.bmp
lbl	腰带/01 Sash.bmp
vbl	腰带/02 Light Belt.bmp
mbl	腰带/03 Belt.bmp
tbl	腰带/04 Heavy Belt.bmp
hbl	腰带/05 Plated Belt.bmp
qui	衣服/001 Quilted Armor.bmp
lea	衣服/002 Leather Armor.bmp
hla	衣服/003 Hard Leather Armor.bmp
stu	衣服/004 Studded Leather.bmp
rng	衣服/005 Ring Mail.bmp
scl	衣服/006 Scale Mail.bmp
chn	衣服/007 Chain Mail.bmp
brs	衣服/008 Breast Plate.bmp
spl	衣服/009 Splint Mail.bmp
plt	衣服/010 Plate Mail.bmp
xar	衣服/011 Field Mail.bmp
gth	衣服/012 Gothic Plate.bmp
ful	衣服/013 Full Plate Mail.bmp
aar	衣服/014 Ancient Armor.bmp
ltp	衣服/015 Light Plate.bmp
buc	盾牌/01 Buckler.bmp
sml	盾牌/02 Small Shield.bmp
lrg	盾牌/03 Large Shield.bmp
kit	盾牌/04 Kite Shield.bmp
tow	盾牌/06 Tower Shield.bmp
gts	盾牌/07 Gothic Shield.bmp
bsh	盾牌/08 Bone Shield.bmp
spk	盾牌/09 Spiked Shield.bmp
pa1	盾牌/Pal专用/10 Targe.bmp
pa2	盾牌/Pal专用/11 Rondache.bmp
pa3	盾牌/Pal专用/12 Heraldic Shield.bmp
pa4	盾牌/Pal专用/13 Aerin Shield.bmp
pa5	盾牌/Pal专用/14 Crown Shield.bmp
ne1	盾牌/Nec专用/01 Preserved Head.bmp
ne2	盾牌/Nec专用/02 Zombie Head.bmp
ne3	盾牌/Nec专用/03 Unraveller Head.bmp
ne4	盾牌/Nec专用/04 Gargoyle Head.bmp
ne5	盾牌/Nec专用/05 Demon Head.bmp
hax	武器/斧头/01 Hand Axe.bmp
axe	武器/斧头/02 Axe.bmp
2ax	武器/斧头/03 Double Axe.bmp
mpi	武器/斧头/04 Military Pick.bmp
wax	武器/斧头/05 War Axe.bmp
lax	武器/斧头/06 Large Axe.bmp
bax	武器/斧头/07 Broad Axe.bmp
btx	武器/斧头/08 Battle Axe.bmp
gax	武器/斧头/09 Great Axe.bmp
gix	武器/斧头/10 Gaint Axe.bmp
wnd	武器/Nec杖/01 Wand.bmp
ywn	武器/Nec杖/02 Yew Wand.bmp
bwn	武器/Nec杖/03 Bone Wand.bmp
gwn	武器/Nec杖/04 Grim Wand.bmp
clb	武器/棒锤/01 Club.bmp
spc	武器/棒锤/02 Spiked Club.bmp
mac	武器/棒锤/03 Mace.bmp
mst	武器/棒锤/04 Morning Star.bmp
fla	武器/棒锤/05 Flail.bmp
whm	武器/棒锤/06 War Hammer.bmp
mau	武器/棒锤/07 Maul.bmp
gma	武器/棒锤/08 Great Maul.bmp
scp	武器/Pal杖/01 Scepter.bmp
gsc	武器/Pal杖/02 Grand Scepter.bmp
wsp	武器/Pal杖/03 War Scepter.bmp
ssd	武器/刀剑/01 Short Sword.bmp
scm	武器/刀剑/02 Scimitar.bmp
sbr	武器/刀剑/03 Sabre.bmp
flc	武器/刀剑/04 Falchion.bmp
crs	武器/刀剑/05 Crystal Sword.bmp
bsd	武器/刀剑/06 Broad Sword.bmp
lsd	武器/刀剑/07 Long Sword.bmp
wsd	武器/刀剑/08 War Sword.bmp
2hs	武器/刀剑/09 Tow Handed Sword.bmp
clm	武器/刀剑/10 Claymore.bmp
gis	武器/刀剑/11 Giant Sword.bmp
bsw	武器/刀剑/12 Bastard Sword.bmp
flb	武器/刀剑/13 Flamberge.bmp
gsd	武器/刀剑/14 Great Sword.bmp
dgr	武器/刀剑/15 Dagger.bmp
dir	武器/刀剑/16 Dirk.bmp
kri	武器/刀剑/17 Kris.bmp
bld	武器/刀剑/18 Blade.bmp
tkf	武器/飞刀/1 Throwing Knife.bmp
tax	武器/飞刀/2 Throwing Axe.bmp
bkf	武器/飞刀/3 Balanced Knife.bmp
bal	武器/飞刀/4 Balanced Axe.bmp
jav	武器/标枪/1 Javelin.bmp
pil	武器/标枪/2 Pilum.bmp
ssp	武器/标枪/3 Short Spear.bmp
glv	武器/标枪/4 Glaive.bmp
tsp	武器/标枪/5 Throwing Spear.bmp
spr	武器/长柄/01 Spear.bmp
tri	武器/长柄/02 Trident.bmp
brn	武器/长柄/03 Brandistock.bmp
spt	武器/长柄/04 Spetum.bmp
pik	武器/长柄/05 Pike.bmp
bar	武器/长柄/06 Bardiche.bmp
vou	武器/长柄/07 Voulge.bmp
scy	武器/长柄/08 Scythe.bmp
pax	武器/长柄/09 Poleaxe.bmp
hal	武器/长柄/10 Halberd.bmp
wsc	武器/长柄/11 War Scythe.bmp
8ss	武器/Sor杖/01 Jo Staff.bmp
lst	武器/Sor杖/02 Long Staff.bmp
gst	武器/Sor杖/03 Ganrled Staff.bmp
bst	武器/Sor杖/04 Battle Staff.bmp
wst	武器/Sor杖/05 War Staff.bmp
sbw	武器/弓弩/01 Short Bow.bmp
hbw	武器/弓弩/02 Hunter's Bow.bmp
lbw	武器/弓弩/03 Long Bow.bmp
cbw	武器/弓弩/04 Composite Bow.bmp
sbb	武器/弓弩/05 Short Battle Bow.bmp
lbb	武器/弓弩/06 Long Battle Bow.bmp
swb	武器/弓弩/07 Short War Bow.bmp
lwb	武器/弓弩/08 Long War Bow.bmp
lxb	武器/弓弩/09 Light Crossbow.bmp
mxb	武器/弓弩/10 Crossbow.bmp
hxb	武器/弓弩/11 Heavy Crossbow.bmp
rxb	武器/弓弩/12 Repeating Crossbow.bmp
gps	武器/毒药/01 Rancid Gas Potion.bmp
ops	武器/毒药/02 Oil Potion.bmp
gpm	武器/毒药/03 Choking Gas Potion.bmp
opm	武器/毒药/04 Exploding Potion.bmp
gpl	武器/毒药/05 Strangling Gas Potion.bmp
opl	武器/毒药/06 Fulminating Potion.bmp
d33	武器/任务/01 Decoy Gidbinn.bmp
g33	武器/任务/02 The Gidbinn.bmp
leg	武器/任务/03 Wirt's Leg.bmp
hdm	武器/任务/04 Horadric Malus.bmp
hfh	武器/任务/05 Hell Forge Hammer.bmp
hst	武器/任务/06 Horadric Staff.bmp
msf	武器/任务/07 Staff Of Kings.bmp
qf1	武器/任务/08 Khalim's Flail.bmp
qf2	武器/任务/09 Khalim's Will.bmp
ktr	武器/Ass剪/01 Katar.bmp
axf	武器/Ass剪/02 Hatchet Hands.bmp
clw	武器/Ass剪/03 Claws.bmp
skr	武器/Ass剪/04 Scissors Katar.bmp
ob1	武器/Sor球/1 Eagle Orb.bmp
ob2	武器/Sor球/2 Sacred Globe.bmp
ob3	武器/Sor球/3 Smoked Sphere.bmp
ob4	武器/Sor球/4 Clasped Orb.bmp
ob5	武器/Sor球/5 Jared's Stone.bmp
am1	武器/Ama专用/1 Stag Bow.bmp
am2	武器/Ama专用/2 Reflex Bow.bmp
am3	武器/Ama专用/3 Maiden Spear.bmp
am4	武器/Ama专用/4 Maiden Pike.bmp
am5	武器/Ama专用/5 Maiden Javelin.bmp
toa	Misc/Token of Absolution.bmp
fed	Misc/Twisted Essence of Destruction.bmp
bet	Misc/Twisted Essence of Terror.bmp
ceh	Misc/Twisted Essence of Hatred.bmp
tes	Misc/Twisted Essence of Suffering.bmp
